fila,columna,tiempo
2,2,0.0183654
2,52,0.317635
2,102,0.613804
2,152,0.976684
2,202,1.22661
2,302,2.01227
2,402,2.62719
2,502,3.73651
52,2,0.188281
52,52,15.0966
52,102,45.3817
52,152,90.7931
52,202,155.409
52,302,325.885
52,402,571.624
52,502,873.005
102,2,0.368649
102,52,45.732
102,102,153.562
102,152,320.268
102,202,556.297
102,302,1198.97
102,402,2121.1
102,502,3273.4
152,2,0.583143
152,52,92.0525
152,102,323.315
152,152,696.665
152,202,1205.26
152,302,2666.09
152,402,4656.57
152,502,7245.65
202,2,0.754297
202,52,156.71
202,102,561.39
202,152,1203.22
202,202,2106.31
202,302,4614.23
202,402,8164.12
202,502,12683
302,2,1.26082
302,52,325.893
302,102,1208.49
302,152,2665.63
302,202,4646.19
302,302,10284.8
302,402,18122
302,502,28304.6
402,2,1.72855
402,52,570.959
402,102,2116.19
402,152,4633.6
402,202,8172.06
402,302,18094.8
402,402,32089.3
402,502,49890.2
502,2,2.41068
502,52,872.59
502,102,3288.16
502,152,7217.42
502,202,12672.8
502,302,28283.9
502,402,49961.8
502,502,77700.4
