fila,columna,tiempo
2,2,0.0183353
2,52,0.30886
2,102,0.580558
2,152,0.919834
2,202,1.11086
2,302,1.72787
2,402,2.10285
2,502,2.89497
52,2,0.180197
52,52,6.54494
52,102,12.6312
52,152,16.6611
52,202,25.0229
52,302,33.1313
52,402,49.6738
52,502,57.8357
102,2,0.338606
102,52,12.5502
102,102,24.6494
102,152,32.6836
102,202,48.8588
102,302,65.0622
102,402,97.5774
102,502,114.184
152,2,0.517552
152,52,16.6808
152,102,32.6273
152,152,53.0557
152,202,64.8338
152,302,105.578
152,402,129.092
152,502,184.863
202,2,0.629435
202,52,24.8208
202,102,48.8433
202,152,64.9001
202,202,97.2651
202,302,129.056
202,402,193.417
202,502,226.719
302,2,0.978539
302,52,32.8299
302,102,64.8861
302,152,105.561
302,202,129.023
302,302,210.298
302,402,256.368
302,502,367.534
402,2,1.19686
402,52,49.1994
402,102,97.4381
402,152,129.22
402,202,193.116
402,302,257.227
402,402,384.654
402,502,451.057
502,2,1.6307
502,52,57.5334
502,102,113.845
502,152,184.322
502,202,226.066
502,302,367.267
502,402,450.43
502,502,526.471
