fila,columna,tiempo
2,2,0.0261563
2,22,0.198611
2,42,0.383137
2,62,0.618534
2,82,0.824701
2,102,0.996703
2,122,1.35467
2,142,1.58457
2,162,1.86444
2,182,2.09335
2,202,2.3804
2,222,2.68541
2,242,3.30875
2,262,3.71098
2,282,4.03808
2,302,4.37069
2,322,4.77591
2,342,5.17383
2,362,5.59017
2,382,6.07218
2,402,6.52544
2,422,7.0289
2,442,7.58978
2,462,8.74158
2,482,9.27105
2,502,9.72703
2,522,10.6469
2,542,10.999
2,562,11.5984
2,582,12.133
2,602,15.3516
2,622,16.6271
2,642,16.2746
2,662,15.0174
2,682,15.6839
2,702,16.5788
2,722,17.4245
2,742,18.2123
2,762,18.9776
2,782,19.6376
2,802,20.7912
2,822,21.5379
2,842,22.2125
2,862,23.8488
2,882,28.1296
2,902,25.3512
2,922,27.6983
2,942,29.3256
2,962,29.327
2,982,30.0275
22,2,0.130338
22,22,2.9412
22,42,9.29546
22,62,15.9136
22,82,25.1078
22,102,38.4685
22,122,52.8146
22,142,70.1308
22,162,91.6726
22,182,109.955
22,202,135.301
22,222,162.306
22,242,189.205
22,262,219.065
22,282,250.541
22,302,285.672
22,322,322.958
22,342,362.54
22,362,406.74
22,382,454.026
22,402,504.139
22,422,550.733
22,442,602.713
22,462,659.659
22,482,715.078
22,502,776.139
22,522,832.001
22,542,900.295
22,562,965.9
22,582,1035.43
22,602,1101.27
22,622,1171.68
22,642,1245.53
22,662,1326.7
22,682,1401.99
22,702,1491.56
22,722,1568.77
22,742,1664.85
22,762,1753.04
22,782,1845.45
22,802,1937.47
22,822,2038.99
22,842,2133.34
22,862,2233.65
22,882,2336.95
22,902,2440.67
22,922,2549.02
22,942,2658.71
22,962,2788.23
22,982,2883.43
42,2,0.244729
42,22,7.86798
42,42,24.0425
42,62,49.3458
42,82,81.9963
42,102,125.509
42,122,175.305
42,142,233.866
42,162,301.349
42,182,376.662
42,202,465.978
42,222,559.595
42,242,661.421
42,262,771.246
42,282,893.72
42,302,1021.69
42,322,1157.67
42,342,1297.18
42,362,1451.51
42,382,1612.85
42,402,1792.21
42,422,1969.39
42,442,2164.16
42,462,2369.03
42,482,2577.95
42,502,2773.44
42,522,3011.15
42,542,3224.04
42,562,3458.23
42,582,3713.4
42,602,3961.83
42,622,4222.17
42,642,4494.04
42,662,4774.27
42,682,5060.23
42,702,5366.9
42,722,5662.65
42,742,5975.41
42,762,6299.62
42,782,6647.65
42,802,6992.63
42,822,7338
42,842,7693.71
42,862,8063.34
42,882,8436.55
42,902,8844.5
42,922,9207.37
42,942,9654.99
42,962,10014.7
42,982,10437.6
62,2,0.398522
62,22,15.5034
62,42,49.2108
62,62,100.412
62,82,172.927
62,102,260.912
62,122,367.585
62,142,498.246
62,162,642.412
62,182,804.142
62,202,987.204
62,222,1184.92
62,242,1405.56
62,262,1643.94
62,282,1914.48
62,302,2191.29
62,322,2476.36
62,342,2787.32
62,362,3117.29
62,382,3467.27
62,402,3857.91
62,422,4231.94
62,442,4626.73
62,462,5051.79
62,482,5504.21
62,502,5953.5
62,522,6430.62
62,542,6947.99
62,562,7462.31
62,582,8002.59
62,602,8558.31
62,622,9126.81
62,642,9722.79
62,662,10340.6
62,682,10966.9
62,702,11615.2
62,722,12322.5
62,742,12956.9
62,762,13660.5
62,782,14384
62,802,15145.7
62,822,15882
62,842,16669.9
62,862,17456.2
62,882,18270.8
62,902,19189.5
62,922,20028.8
62,942,20829.9
62,962,21734
62,982,22625.6
82,2,0.544498
82,22,24.8462
82,42,81.7662
82,62,173.465
82,82,294.869
82,102,453.289
82,122,642.357
82,142,863.091
82,162,1115.91
82,182,1405.8
82,202,1725.93
82,222,2078.01
82,242,2461.62
82,262,2878.67
82,282,3334
82,302,3812.24
82,322,4325.93
82,342,4884.35
82,362,5488.81
82,382,6080.02
82,402,6766.04
82,422,7426.29
82,442,8128.16
82,462,8868.89
82,482,9644.25
82,502,10463
82,522,11303.8
82,542,12174.8
82,562,13071.9
82,582,14007.5
82,602,14975.5
82,622,15972.4
82,642,17014.4
82,662,18077.9
82,682,19185.9
82,702,20322.8
82,722,21486.9
82,742,22688.8
82,762,23904.3
82,782,25167.5
82,802,26597.3
82,822,27846.8
82,842,29190.5
82,862,30707.6
82,882,32020.2
82,902,33481.1
82,922,34955.3
82,942,36477.9
82,962,38029.8
82,982,39621.2
102,2,0.694901
102,22,37.651
102,42,124.65
102,62,259.907
102,82,449.795
102,102,686.925
102,122,975.823
102,142,1314.93
102,162,1718.24
102,182,2156.27
102,202,2647.41
102,222,3210.58
102,242,3788.21
102,262,4433.29
102,282,5134.55
102,302,5869.61
102,322,6682.99
102,342,7526.08
102,362,8419.69
102,382,9403.26
102,402,10405.3
102,422,11407.6
102,442,12549.1
102,462,13696.9
102,482,14905.4
102,502,16183
102,522,17399.6
102,542,18744.3
102,562,20201.4
102,582,21598.6
102,602,23088
102,622,24643.7
102,642,26360.4
102,662,27966.3
102,682,29695.1
102,702,
