fila,columna,tiempo
2,2,0.0290117
2,22,0.201801
2,42,0.358205
2,62,0.539639
2,82,0.661742
2,102,0.809959
2,122,1.03086
2,142,1.14123
2,162,1.3103
2,182,1.35312
2,202,1.46614
2,222,1.58978
2,242,1.97514
2,262,2.11302
2,282,2.16977
2,302,2.34081
2,322,2.40476
2,342,2.51198
2,362,2.60652
2,382,2.66429
2,402,2.91134
2,422,2.92914
2,442,3.1124
2,462,4.40449
2,482,3.93638
2,502,3.98349
2,522,4.08826
2,542,4.22817
2,562,4.27836
2,582,4.31897
2,602,4.41347
2,622,4.5305
2,642,4.65405
2,662,4.71969
2,682,4.79118
2,702,4.89552
2,722,4.9929
2,742,5.14208
2,762,5.22434
2,782,5.46644
2,802,5.46107
2,822,5.63408
2,842,5.77906
2,862,5.6996
2,882,5.93461
2,902,6.16359
2,922,7.14705
2,942,7.26296
2,962,7.37968
2,982,7.53507
22,2,0.119761
22,22,1.88946
22,42,4.08876
22,62,7.33775
22,82,9.8948
22,102,14.2708
22,122,18.0217
22,142,22.3343
22,162,27.427
22,182,30.7505
22,202,38.7498
22,222,43.553
22,242,50.5055
22,262,57.5395
22,282,65.6172
22,302,75.957
22,322,80.7716
22,342,89.6503
22,362,99.854
22,382,112.931
22,402,122.762
22,422,135.682
22,442,144.459
22,462,155.367
22,482,167.927
22,502,180.821
22,522,191.997
22,542,208.385
22,562,224.826
22,582,236.207
22,602,255.538
22,622,268.553
22,642,285.306
22,662,302.997
22,682,319.321
22,702,338.396
22,722,361.479
22,742,391.501
22,762,410.963
22,782,431.892
22,802,450.215
22,822,481.956
22,842,503.632
22,862,530.047
22,882,546.8
22,902,571.288
22,922,596.965
22,942,622.037
22,962,646.034
22,982,675.118
42,2,0.212219
42,22,4.08977
42,42,9.81777
42,62,17.8541
42,82,27.6762
42,102,41.4482
42,122,53.2867
42,142,69.3048
42,162,87.6597
42,182,106.067
42,202,133.413
42,222,157.6
42,242,183.732
42,262,209.697
42,282,241.754
42,302,274.484
42,322,308.49
42,342,346.434
42,362,391.272
42,382,442.387
42,402,501.368
42,422,549.759
42,442,602.141
42,462,661.41
42,482,729.328
42,502,794.415
42,522,854.539
42,542,917.377
42,562,971.046
42,582,1037.39
42,602,1114.85
42,622,1177.14
42,642,1242.96
42,662,1301.44
42,682,1360.79
42,702,1435.25
42,722,1515.09
42,742,1601.65
42,762,1682.19
42,782,1780.3
42,802,1867.08
42,822,1952.8
42,842,2038.66
42,862,2147.84
42,882,2227.95
42,902,2329.43
42,922,2434.6
42,942,2534.2
42,962,2630.5
42,982,2745.75
62,2,0.320565
62,22,7.06549
62,42,17.5678
62,62,31.2981
62,82,51.9736
62,102,72.624
62,122,94.1697
62,142,123.357
62,162,154.299
62,182,187.55
62,202,225.842
62,222,272.081
62,242,329.941
62,262,395.924
62,282,474.897
62,302,544.267
62,322,616.927
62,342,694.209
62,362,781.272
62,382,862.527
62,402,974.61
62,422,1083.48
62,442,1190.51
62,462,1301.99
62,482,1432.86
62,502,1541.64
62,522,1668.68
62,542,1798.27
62,562,1956.62
62,582,2090.88
62,602,2226.16
62,622,2375.96
62,642,2523.8
62,662,2680.15
62,682,2836.98
62,702,3037.26
62,722,3248.2
62,742,3424.09
62,762,3620.51
62,782,3805.71
62,802,3981.12
62,822,4187.15
62,842,4426.39
62,862,4627.66
62,882,4828.62
62,902,5052.69
62,922,5337.18
62,942,5574.72
62,962,5804.14
62,982,6041.79
82,2,0.390007
82,22,9.40011
82,42,24.5371
82,62,54.3731
82,82,85.6129
82,102,126.247
82,122,174.084
82,142,232.938
82,162,297.138
82,182,380.573
82,202,481.444
82,222,592.802
82,242,703.184
82,262,833.078
82,282,964.99
82,302,1114.01
82,322,1295.12
82,342,1476.57
82,362,1668.04
82,382,1836.89
82,402,2050.27
82,422,2265.42
82,442,2482.29
82,462,2704.12
82,482,2939.77
82,502,3168.7
82,522,3465.8
82,542,3720.99
82,562,3944.39
82,582,4212.87
82,602,4424.71
82,622,4734.81
82,642,5057.1
82,662,5314.78
82,682,5679.79
82,702,5979.7
82,722,6391.43
82,742,6755.77
82,762,7097.17
82,782,7350.45
82,802,8089
82,822,8686.56
82,842,9116.67
82,862,9538.48
82,882,9983.78
82,902,10479.8
82,922,11067.5
82,942,11418.7
82,962,11846.4
82,982,12424
102,2,0.466981
102,22,13.0272
102,42,34.2108
102,62,62.9687
102,82,108.396
102,102,161.034
102,122,229.651
102,142,328.357
102,162,436.929
102,182,572.513
102,202,721.993
102,222,922.604
102,242,1109.07
102,262,1314.97
102,282,1536.66
102,302,1755.32
102,322,1976.1
102,342,2215.04
102,362,2468.77
102,382,2741.48
102,402,3042.63
102,422,3352.99
102,442,3651.96
102,462,3984.21
102,482,4352.87
102,502,4684.69
102,522,5036.61
102,542,5514.17
102,562,5877.51
102,582,6331.9
102,602,6831.93
102,622,7239.76
102,642,7649.23
102,662,8616.93
102,682,9224.29
102,702,9741.07
102,722,10552.9
102,742,11183.3
102,762,11775
102,782,12535.5
102,802,13303.5
102,822,14018.5
102,842,14460.1
