fila,columna,tiempo
2,2,0.0421107
2,52,0.37093
2,102,0.731677
2,152,0.949714
2,202,1.10668
2,302,1.71948
2,402,2.10409
2,502,2.88154
52,2,0.181419
52,52,6.57648
52,102,12.6313
52,152,16.7003
52,202,25.0114
52,302,33.2639
52,402,49.6865
52,502,58.1237
102,2,0.346253
102,52,12.664
102,102,24.6419
102,152,33.5009
102,202,49.2781
102,302,65.3229
102,402,97.568
102,502,114.398
152,2,0.525445
152,52,16.7898
152,102,32.9815
152,152,53.0951
152,202,65.0551
152,302,105.756
152,402,130.323
152,502,185.097
202,2,0.642604
202,52,25.5467
202,102,50.0734
202,152,66.7046
202,202,99.7596
202,302,132.875
202,402,198.696
202,502,233.838
302,2,1.01841
302,52,33.7448
302,102,66.7625
302,152,108.253
302,202,132.917
302,302,216.32
302,402,265.543
302,502,379.219
402,2,1.24934
402,52,50.5585
402,102,100.019
402,152,133.183
402,202,198.741
402,302,266.115
402,402,396.639
402,502,468.738
502,2,1.69656
502,52,59.7643
502,102,117.945
502,152,190.773
502,202,234.839
502,302,380.934
502,402,469.116
502,502,550.335
