fila,columna,tiempo
2,2,0.0262685
2,22,0.196441
2,42,0.34283
2,62,0.700715
2,82,0.864493
2,102,0.970999
2,122,1.13163
2,142,1.26449
2,162,1.35186
2,182,1.41631
2,202,1.43054
2,222,1.60638
2,242,1.96967
2,262,2.17301
2,282,2.18285
2,302,2.3154
2,322,2.47055
2,342,2.6422
2,362,2.70867
2,382,2.71126
2,402,2.85625
2,422,2.89776
2,442,3.04406
2,462,3.68415
2,482,3.72138
2,502,3.88245
2,522,4.07176
2,542,4.05011
2,562,4.30005
2,582,4.32521
2,602,4.40288
2,622,4.48439
2,642,4.55883
2,662,4.74058
2,682,4.88036
2,702,8.95303
2,722,5.11492
2,742,5.28815
2,762,5.29023
2,782,5.38928
2,802,5.61239
2,822,5.41853
2,842,5.69853
2,862,5.52728
2,882,5.85265
2,902,5.89747
2,922,7.13306
2,942,7.32865
2,962,7.38186
2,982,7.53979
22,2,0.118088
22,22,1.67613
22,42,2.84524
22,62,4.41498
22,82,5.54778
22,102,7.60554
22,122,8.65662
22,142,9.49821
22,162,10.8154
22,182,11.4973
22,202,14.9851
22,222,16.1686
22,242,16.9447
22,262,17.9052
22,282,18.5974
22,302,20.2965
22,322,20.7782
22,342,21.6618
22,362,22.7126
22,382,28.097
22,402,29.1428
22,422,30.241
22,442,31.2456
22,462,32.2645
22,482,33.2064
22,502,34.2067
22,522,35.1795
22,542,36.2345
22,562,37.4004
22,582,38.0039
22,602,38.823
22,622,40.8465
22,642,41.0581
22,662,41.4529
22,682,42.8013
22,702,43.1134
22,722,44.9995
22,742,54.5482
22,762,55.3485
22,782,56.5038
22,802,60.6437
22,822,60.2147
22,842,60.9881
22,862,60.9629
22,882,62.0178
22,902,62.6083
22,922,64.7099
22,942,65.8258
22,962,67.1324
22,982,67.2352
42,2,0.304991
42,22,2.90161
42,42,5.31033
42,62,8.51415
42,82,10.2788
42,102,14.4096
42,122,16.264
42,142,18.5718
42,162,19.8811
42,182,21.701
42,202,28.1764
42,222,29.9162
42,242,31.8093
42,262,33.8674
42,282,35.7577
42,302,37.468
42,322,38.9864
42,342,41.5156
42,362,51.7462
42,382,45.555
42,402,56.9703
42,422,58.5313
42,442,60.1058
42,462,61.7182
42,482,64.2332
42,502,69.1716
42,522,69.9866
42,542,72.8292
42,562,73.723
42,582,76.0219
42,602,81.9555
42,622,81.3446
42,642,81.3937
42,662,84.6506
42,682,84.6487
42,702,92.3748
42,722,90.309
42,742,91.5225
42,762,93.8179
42,782,114.683
42,802,116.113
42,822,117.931
42,842,117.548
42,862,119.722
42,882,122.262
42,902,123.333
42,922,125.751
42,942,127.738
42,962,130.683
42,982,132.216
62,2,0.318811
62,22,4.36818
62,42,8.48557
62,62,11.084
62,82,16.3506
62,102,19.1832
62,122,21.8751
62,142,29.3446
62,162,32.3486
62,182,35.4726
62,202,37.9024
62,222,40.6799
62,242,43.3863
62,262,46.0288
62,282,58.2622
62,302,61.1291
62,322,64.4772
62,342,69.1654
62,362,70.2221
62,382,72.91
62,402,75.5785
62,422,78.6783
62,442,81.3254
62,462,84.3372
62,482,86.4719
62,502,89.415
62,522,91.6279
62,542,112.859
62,562,116.039
62,582,118.971
62,602,122.317
62,622,126.427
62,642,128.522
62,662,131.641
62,682,134.441
62,702,137.257
62,722,140.943
62,742,143.093
62,762,146.496
62,782,148.106
62,802,150.734
62,822,153.49
62,842,156.513
62,862,159.78
62,882,163.304
62,902,164.964
62,922,167.566
62,942,170.263
62,962,173.479
62,982,175.338
82,2,0.388655
82,22,5.33644
82,42,10.2758
82,62,16.3007
82,82,20.0288
82,102,28.3293
82,122,32.2547
82,142,36.0897
82,162,39.6942
82,182,43.2148
82,202,55.9851
82,222,60.0746
82,242,63.951
82,262,67.7317
82,282,71.8032
82,302,75.6755
82,322,78.9511
82,342,82.9332
82,362,85.9277
82,382,89.3652
82,402,111.487
82,422,115.938
82,442,119.679
82,462,124.077
82,482,127.652
82,502,131.637
82,522,135.463
82,542,139.176
82,562,143.152
82,582,146.725
82,602,156.582
82,622,153.78
82,642,157.51
82,662,161.092
82,682,164.556
82,702,169.031
82,722,172.637
82,742,176.315
82,762,179.579
82,782,182.228
82,802,223.17
82,822,227.663
82,842,232.156
82,862,238.954
82,882,239.576
82,902,243.692
82,922,247.449
82,942,251.21
82,962,254.758
82,982,259.6
102,2,0.468045
102,22,7.51424
102,42,14.4411
102,62,19.0495
102,82,28.1581
102,102,33.0944
102,122,37.8196
102,142,42.1238
102,162,55.8207
102,182,60.7146
102,202,65.6916
102,222,70.6151
102,242,75.1349
102,262,79.6903
102,282,83.9443
102,302,88.271
102,322,110.743
102,342,116.018
102,362,121.325
102,382,126.063
102,402,131.131
102,422,136.42
102,442,140.422
102,462,145.221
102,482,149.564
102,502,154.281
102,522,158.801
102,542,163.026
102,562,167.422
102,582,171.771
102,602,175.959
102,622,180.46
102,642,221.283
102,662,226.331
102,682,231.975
102,702,236.659
102,722,241.964
102,742,247.139
102,762,251.959
102,782,258.056
102,802,263.008
102,822,267.269
102,842,272.115
102,862,276.334
102,882,280.949
102,902,290.641
102,922,290.359
102,942,294.583
102,962,299.24
102,982,309.865
122,2,0.604456
122,22,8.4728
122,42,16.3094
122,62,21.7289
122,82,32.1459
122,102,37.6901
122,122,42.9584
122,142,57.829
122,162,63.7055
122,182,69.4031
122,202,74.9893
122,222,80.2151
