fila,columna,tiempo
2,2,0.0184042
2,52,0.342845
2,102,0.719634
2,152,1.22138
2,202,1.65219
2,302,2.97237
2,402,4.35413
2,502,6.44094
52,2,0.222593
52,52,33.5944
52,102,116.69
52,152,248.284
52,202,434.068
52,302,944.831
52,402,1671.41
52,502,2564.36
102,2,0.492517
102,52,115.18
102,102,421.146
102,152,916.649
102,202,1612.98
102,302,3566.86
102,402,6284.88
102,502,9755.16
152,2,0.8563
152,52,246.85
152,102,921.141
152,152,2026.02
152,202,3551.71
152,302,7890.85
152,402,13944.7
152,502,21739.9
202,2,1.22476
202,52,430.494
202,102,1610.32
202,152,3533.85
202,202,6227.53
202,302,13826.4
202,402,24514.5
202,502,38177
302,2,2.29325
302,52,944.27
302,102,3576.16
302,152,7906.48
302,202,13891.8
302,302,30965.9
302,402,54705.8
302,502,85205
402,2,3.52206
402,52,1655.44
402,102,6277.89
402,152,13898.6
402,202,24526.5
402,302,54710.1
402,402,96800.8
402,502,150468
502,2,5.12647
502,52,2503.72
502,102,9551.45
502,152,21173.7
502,202,37293.5
502,302,83225.9
502,402,147384
502,502,229508
