fila,columna,tiempo
2,2,0.0187872
2,52,0.3207
2,102,0.604874
2,152,0.940081
2,202,1.13967
2,302,1.80843
2,402,2.20079
2,502,3.04511
52,2,0.187023
52,52,13.6709
52,102,38.178
52,152,73.7099
52,202,126.994
52,302,283.249
52,402,520.863
52,502,769.993
102,2,0.353844
102,52,32.3539
102,102,103.803
102,152,241.654
102,202,479.688
102,302,1150.97
102,402,2087.18
102,502,3335.15
152,2,0.539741
152,52,68.7193
152,102,267.582
152,152,644.47
152,202,1175.63
152,302,2770.07
152,402,5231.27
152,502,9353.64
202,2,0.666601
202,52,110.328
202,102,470.202
202,152,1082.35
202,202,2002.2
202,302,4971.73
202,402,10258.7
202,502,18150.6
302,2,1.02579
302,52,271.064
302,102,1180.86
302,152,2800.32
302,202,5247.66
302,302,14256.4
302,402,29232.8
302,502,47513.8
402,2,1.26815
402,52,468.787
402,102,1965.08
402,152,5006.82
402,202,10396.1
402,302,29205.6
402,402,56157.7
402,502,93186.8
502,2,1.72539
502,52,754.344
502,102,3419.53
502,152,9209.91
502,202,18179.8
502,302,48887.4
502,402,94005.6
502,502,159046
