fila,columna,tiempo
2,2,0.0183331
2,52,0.31264
2,102,0.588904
2,152,0.916384
2,202,1.10731
2,302,1.7162
2,402,2.10641
2,502,2.92177
52,2,0.1822
52,52,6.53625
52,102,12.7615
52,152,16.8714
52,202,25.2597
52,302,33.4543
52,402,50.174
52,502,58.5033
102,2,0.342948
102,52,12.6138
102,102,24.862
102,152,33.0101
102,202,49.3576
102,302,65.8503
102,402,98.6415
102,502,116.015
152,2,0.532947
152,52,16.8079
152,102,32.9758
152,152,53.6666
152,202,65.651
152,302,106.871
152,402,130.956
152,502,186.812
202,2,0.638335
202,52,24.9861
202,102,49.2978
202,152,65.5797
202,202,98.2396
202,302,131.331
202,402,196.167
202,502,230.019
302,2,0.991287
302,52,33.1806
302,102,65.8845
302,152,107.026
302,202,131.117
302,302,212.908
302,402,260.368
302,502,372.074
402,2,1.21362
402,52,49.6382
402,102,99.0722
402,152,131.964
402,202,196.92
402,302,262.624
402,402,391.706
402,502,460.491
502,2,1.65145
502,52,58.614
502,102,116.193
502,152,187.67
502,202,230.515
502,302,373.051
502,402,456.687
502,502,535.799
