n,p,m,tiempo
2,0.2,1,1.80896
2,0.4,1,323.06
2,0.8,1,278.192
4,0.2,3,811.87
4,0.4,4,1607.44
4,0.8,5,1604.6
6,0.2,6,4460.95
6,0.4,8,5441.89
6,0.8,12,8596.64
8,0.2,8,4522.63
8,0.4,15,12350.1
8,0.8,21,24464.7
10,0.2,12,14200.8
10,0.4,17,12730.5
10,0.8,37,42444.5
12,0.2,19,24790
12,0.4,36,64754.7
12,0.8,56,94264.3
14,0.2,17,18765.9
14,0.4,37,64061.9
14,0.8,67,140095
16,0.2,24,47515.2
16,0.4,53,123515
16,0.8,100,258319
18,0.2,37,91640.1
18,0.4,61,143090
18,0.8,122,345332
20,0.2,42,121371
20,0.4,77,240279
25,0.2,63,232806
30,0.2,89,429104
35,0.2,126,673106
