n,p,m,tiempo
10,0.2,10,1161.51
10,0.4,19,1810.69
10,0.8,33,2438.78
20,0.2,41,16999.7
20,0.4,75,19775.5
20,0.8,153,23382.5
30,0.2,88,52973.6
30,0.4,179,72802.1
30,0.8,351,89099.1
40,0.2,135,132310
40,0.4,297,189906
40,0.8,645,210345
50,0.2,240,303216
5,0.2,4,165.822
5,0.4,5,179.78
5,0.8,8,219.049
15,0.2,22,4461.5
15,0.4,43,8360.39
15,0.8,89,9471.62
25,0.2,54,26419.9
25,0.4,118,39842.1
25,0.8,243,49283.7
35,0.2,116,85394.4
35,0.4,242,127997
35,0.8,482,136717
45,0.2,223,240479
45,0.4,400,279090
45,0.8,787,304660
